ID_Colaborador,Departamento,Nivel,Genero,Tempo_Casa_Anos,Processos_Ativos,Horas_Extras_Mes,Satisfacao_Clima,Percentual_Bonus_Recebido,Status_Atual
1,,Jr.,Fem,"1,9",22,,,%,Desligado
2,Civil,Pleno,Não-binário,3.3,15,7,3.4,18,Ativo
3,Civil,Júnior,Não-binário,0.7,35,22,3.8,7,Ativo
4,Corporativo,Júnior,Feminino,2.0,20,18,3.7,2,Ativo
5,Trabalhista,Pleno,Masculino,2.3,47,23,2.6,15,Ativo
6,Corporativo,Júnior,Feminino,1.9,32,8,4.9,6,Desligado
7,Civil,Pleno,Não-binário,2.9,35,24,4.8,15,Ativo
8,Trabalhista,Júnior,Não-binário,0.5,42,29,3.8,3,Ativo
9,Civil,Pleno,Masculino,2.8,35,16,3.3,15,Ativo
10,Trabalhista,Júnior,Não-binário,0.9,37,25,3.0,3,Ativo
11,Trabalhista,Pleno,Masculino,3.1,42,30,3.5,10,Ativo
12,Trabalhista,Júnior,Feminino,2.1,57,43,1.1,9,Desligado
13,Corporativo,Júnior,Feminino,"1,7",27,25,3.9,4,Ativo
14,Trabalhista,Júnior,Feminino,1.9,62,43,2.1,6,Desligado
15,Tributário,Pleno,Masculino,2.7,19,21,4.0,10,Ativo
16,Civil,Pleno,Feminino,3.9,36,18,4.2,16,Ativo
17,Tributário,Júnior,Não-binário,2.5,31,13,4.9,0,Desligado
18,Civil,Sênior,Não-binário,7.6,23,25,,19,Ativo
19,Tributário,Júnior,Feminino,1.3,38,13,4.9,2,Ativo
20,CIVIL,Pleno,Não-binário,2.9,35,21,4.2,12,Ativo
21,Corporativo,Júnior,Feminino,1.5,31,5,4.2,7,Ativo
22,Civil,Júnior,Feminino,2.3,24,12,3.1,9,Ativo
23,Civil,Júnior,Feminino,1.9,17,22,4.5,2,Ativo
24,Tributário,Júnior,Não-binário,0.7,31,,3.8,3,Ativo
25,Trabalhista,Pleno,Não-binário,"2,9",46,34,3.6,17,Ativo
26,Civil,Sênior,Feminino,5.3,25,5,4.2,18%,Ativo
27,Trabalhista,Sênior,Feminino,4.7,65,36,1.3,15,Desligado
28,Corporativo,Pleno,Feminino,3.5,23,20,3.4,12,Desligado
29,Tributário,Júnior,Feminino,2.0,28,11,3.2,10,Ativo
30,Tributário,Júnior,Masc,1.2,29,6,4.3,10,Ativo
31,Civil,Júnior,Feminino,1.2,25,8,3.5,3,Ativo
32,Tributário,Pleno,Feminino,3.3,23,19,3.5,,Ativo
33,Tributário,Júnior,Não-binário,0.5,35,22,4.7,1,Ativo
34,Trabalhista,Júnior,Feminino,1.2,60,41,2.3,0,Ativo
35,Trabalhista,Júnior,Masculino,0.3,47,28,,7,Desligado
36,Corporativo,Sênior,Masculino,6.9,38,22,4.3,29,Ativo
37,Trabalhista,Júnior,Feminino,"1,0",46,53,2.1,0,Desligado
38,Corporativo,Pleno,Feminino,2.2,30,21,4.8,18,Ativo
39,TRABALHISTA,Pleno,Feminino,4.9,47,40,1.1,11,Ativo
40,Trabalhista,Pleno,Masculino,2.4,42,38,3.1,19,Ativo
41,Civil,Sócio,Masculino,12.3,33,21,3.6,48,Ativo
42,Trabalhista,Júnior,Não-binário,1.9,42,28,2.7,10,Ativo
43,Corporativo,Pleno,Masculino,2.9,17,-10,3.9,19,Ativo
44,Civil,Pleno,Feminino,3.6,31,13,3.3,15,Ativo
